path,speaker,label,split
data/processed/train/speaker1_digit0.wav,1,0,train
data/processed/train/speaker1_digit1.wav,1,1,train
data/processed/train/speaker1_digit2.wav,1,2,train
data/processed/train/speaker1_digit3.wav,1,3,train
data/processed/train/speaker1_digit4.wav,1,4,train
data/processed/train/speaker1_digit5.wav,1,5,train
data/processed/train/speaker1_digit6.wav,1,6,train
data/processed/train/speaker1_digit7.wav,1,7,train
data/processed/train/speaker1_digit8.wav,1,8,train
data/processed/train/speaker1_digit9.wav,1,9,train
data/processed/train/speaker2_digit0.wav,2,0,train
data/processed/train/speaker2_digit1.wav,2,1,train
data/processed/train/speaker2_digit2.wav,2,2,train
data/processed/train/speaker2_digit3.wav,2,3,train
data/processed/train/speaker2_digit4.wav,2,4,train
data/processed/train/speaker2_digit5.wav,2,5,train
data/processed/train/speaker2_digit6.wav,2,6,train
data/processed/train/speaker2_digit7.wav,2,7,train
data/processed/train/speaker2_digit8.wav,2,8,train
data/processed/train/speaker2_digit9.wav,2,9,train
data/processed/train/speaker3_digit0.wav,3,0,train
data/processed/train/speaker3_digit1.wav,3,1,train
data/processed/train/speaker3_digit2.wav,3,2,train
data/processed/train/speaker3_digit3.wav,3,3,train
data/processed/train/speaker3_digit4.wav,3,4,train
data/processed/train/speaker3_digit5.wav,3,5,train
data/processed/train/speaker3_digit6.wav,3,6,train
data/processed/train/speaker3_digit7.wav,3,7,train
data/processed/train/speaker3_digit8.wav,3,8,train
data/processed/train/speaker3_digit9.wav,3,9,train
data/processed/train/speaker4_digit0.wav,4,0,train
data/processed/train/speaker4_digit1.wav,4,1,train
data/processed/train/speaker4_digit2.wav,4,2,train
data/processed/train/speaker4_digit3.wav,4,3,train
data/processed/train/speaker4_digit4.wav,4,4,train
data/processed/train/speaker4_digit5.wav,4,5,train
data/processed/train/speaker4_digit6.wav,4,6,train
data/processed/train/speaker4_digit7.wav,4,7,train
data/processed/train/speaker4_digit8.wav,4,8,train
data/processed/train/speaker4_digit9.wav,4,9,train
data/processed/train/speaker5_digit0.wav,5,0,train
data/processed/train/speaker5_digit1.wav,5,1,train
data/processed/train/speaker5_digit2.wav,5,2,train
data/processed/train/speaker5_digit3.wav,5,3,train
data/processed/train/speaker5_digit4.wav,5,4,train
data/processed/train/speaker5_digit5.wav,5,5,train
data/processed/train/speaker5_digit6.wav,5,6,train
data/processed/train/speaker5_digit7.wav,5,7,train
data/processed/train/speaker5_digit8.wav,5,8,train
data/processed/train/speaker5_digit9.wav,5,9,train
data/processed/val/speaker6_digit0.wav,6,0,val
data/processed/val/speaker6_digit1.wav,6,1,val
data/processed/val/speaker6_digit2.wav,6,2,val
data/processed/val/speaker6_digit3.wav,6,3,val
data/processed/val/speaker6_digit4.wav,6,4,val
data/processed/val/speaker6_digit5.wav,6,5,val
data/processed/val/speaker6_digit6.wav,6,6,val
data/processed/val/speaker6_digit7.wav,6,7,val
data/processed/val/speaker6_digit8.wav,6,8,val
data/processed/val/speaker6_digit9.wav,6,9,val
data/processed/val/speaker7_digit0.wav,7,0,val
data/processed/val/speaker7_digit1.wav,7,1,val
data/processed/val/speaker7_digit2.wav,7,2,val
data/processed/val/speaker7_digit3.wav,7,3,val
data/processed/val/speaker7_digit4.wav,7,4,val
data/processed/val/speaker7_digit5.wav,7,5,val
data/processed/val/speaker7_digit6.wav,7,6,val
data/processed/val/speaker7_digit7.wav,7,7,val
data/processed/val/speaker7_digit8.wav,7,8,val
data/processed/val/speaker7_digit9.wav,7,9,val
